"Player","school","conference","year","Yr","Pos","GP","PA","AB","BA","OBP","SLG","R","H","X2B","X3B","HR","RBI","TB","BB","K","HBP","SF","SH","DP","IBB","wOBA"
"Dozier, Hunter","SFA","Southland",2013,"Jr","INF",55,251,212,0.396,0.482,0.755,47,84,25,0,17,52,160,35,35,2,2,0,6,9,0.596
"Jackson, Joe","The Citadel","SoCon",2013,"Jr","C",60,287,228,0.386,0.495,0.658,66,88,19,2,13,67,150,43,29,10,4,2,5,3,0.538
"Bryant, Kris","San Diego","WCC",2013,"Jr","3B",62,302,228,0.329,0.493,0.82,80,75,13,3,31,62,187,66,44,8,0,0,4,21,0.64
"Peterson, D.J.","New Mexico","Mountain West",2013,"Jr","3B",55,277,218,0.408,0.52,0.807,68,89,25,4,18,72,176,46,35,9,4,0,4,16,0.637
"Gillaspie, Casey","Wichita St.","MVC",2014,"Jr","INF",58,267,208,0.394,0.524,0.692,49,82,15,1,15,50,144,57,26,1,1,0,9,14,0.599
"Pentecost, Max","Kennesaw St.","ASUN",2014,"Jr","C",64,306,268,0.422,0.482,0.627,59,113,24,2,9,61,168,30,26,4,3,1,7,9,0.539
"Reed, AJ","Kentucky","SEC",2014,"Jr","P",62,290,223,0.336,0.476,0.735,60,75,18,1,23,73,164,49,48,14,4,0,2,15,0.586
"Schwarber, Kyle","Indiana","Big Ten",2014,"Jr","C",59,280,232,0.358,0.464,0.659,66,83,16,6,14,48,153,44,30,3,1,0,2,7,0.537
"Listi, Austin","DBU","MVC",2017,"Sr","OF",63,295,238,0.336,0.454,0.735,62,80,23,0,24,55,175,45,61,9,3,0,6,1,0.532
"Massoni, Craig","Austin Peay","OVC",2013,"Jr","OF",62,284,239,0.385,0.475,0.661,59,92,18,0,16,68,158,36,44,7,2,0,13,1,0.537
"Adams, Caleb","Louisiana","Sun Belt",2014,"Jr","OF",67,285,223,0.381,0.502,0.673,67,85,18,7,11,42,150,46,60,10,2,4,1,2,0.538
"Scott, Ryan","Little Rock","Sun Belt",2016,"Sr","OF",54,257,216,0.435,0.516,0.713,56,94,20,2,12,66,154,27,33,10,1,3,5,5,0.569
"Dewees, Donnie","North Florida","ASUN",2015,"Jr","OF",60,287,251,0.422,0.483,0.749,88,106,12,8,18,68,188,30,16,2,3,1,4,5,0.588
"Fisher, Ben","Eastern Ky.","OVC",2017,"Sr","INF",56,268,223,0.363,0.455,0.762,71,81,14,0,25,72,170,38,35,3,4,0,5,1,0.547
