year,division,Player,Jersey,school,conference,Yr,Pos,GP,App,GS,ERA,IP,H.A,R.A,ER,BB.A,SO,SHO,BF,P.OAB,2B.A,3B.A,Bk,HR.A,WP,HB,IBB.A,IR,IRS,SHA,SFA,GO,FO,W,L,SV,KL,teamid,player_id,player_url,SO_PCT,BB_PCT,SO_BB_Ratio,BAA,OBPA,SLGA,OPSA,conference_id
2015,1,"Slatton, Heath",11,Middle Tenn.,C-USA,Jr,P,21,21,6,7.99,47.1,59,47,42,26,34,0,230,189,9,1,0,3,4,10,1,14,6,4,1,52,45,2,8,0,10,419,1418477,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1418477,0.148,0.113,1.308,0.312,0.42,0.418,0.838,24312
2016,1,"Ullom, Mitch",45,Houston,AAC,Fr,P,14,14,12,2.88,78,71,31,25,14,39,1,316,295,4,2,0,6,4,4,0,2,2,3,0,117,63,7,4,0,8,288,1752407,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1752407,0.123,0.044,2.786,0.241,0.284,0.329,0.613,823
2017,1,"McClanahan, Shane",8,South Fla.,AAC,Fr,P,15,15,15,3.2,76,48,30,27,36,104,0,312,265,12,1,0,4,9,3,0,0,0,7,1,60,58,4,2,0,34,651,1754191,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1754191,0.333,0.115,2.889,0.181,0.285,0.279,0.564,823
2013,1,"Zelhart, Jordan",4,Lipscomb,ASUN,Sr,P,19,19,0,2.42,26,31,8,7,9,19,0,118,103,4,0,1,1,2,5,0,24,12,1,0,31,20,0,0,1,3,28600,1322589,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&stats_player_seq=1322589,0.161,0.076,2.111,0.301,0.385,0.369,0.754,920
2015,1,"Vorhof, Mick",1,Grand Canyon,WAC,Fr,P,24,24,1,3.02,41.2,47,20,14,9,39,0,182,168,9,2,1,3,4,2,0,17,6,2,0,44,35,5,0,5,16,1104,1637762,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1637762,0.214,0.049,4.333,0.28,0.324,0.411,0.735,923
2016,1,"Frati, Logan",17,Fairleigh Dickinson,NEC,Jr,P,13,13,13,3.43,81.1,67,39,31,38,76,3,344,291,10,2,0,2,3,4,0,0,0,7,4,90,65,7,1,0,25,222,1427266,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1427266,0.221,0.11,2,0.23,0.323,0.299,0.622,846
2013,1,"Brown, Cody",33,Central Conn. St.,NEC,So,P,12,12,12,3.33,83.2,91,33,31,19,44,0,350,320,17,1,0,3,3,3,0,0,0,8,0,91,99,5,5,0,18,127,1767637,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&stats_player_seq=1767637,0.126,0.054,2.316,0.284,0.33,0.372,0.702,846
2018,1,"Schoch, Stephen",28,UMBC,America East,So,P,24,24,0,1.72,57.2,42,12,11,19,71,0,236,208,8,1,3,2,2,6,2,18,8,2,1,51,42,2,6,10,15,391,1871348,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1871348,0.301,0.081,3.737,0.202,0.286,0.279,0.565,845
2013,1,"Schmenk, Alec",33,Toledo,MAC,So,P,14,14,3,7.09,26.2,35,22,21,16,13,0,128,105,11,3,1,1,6,3,2,9,4,2,2,32,29,3,1,0,3,709,1311066,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11320&stats_player_seq=1311066,0.102,0.125,0.812,0.333,0.429,0.524,0.953,875
2016,1,"Kulman, Spencer",23,Wofford,SoCon,Jr,P,22,22,0,5.74,26.2,31,21,17,12,37,0,124,111,4,0,0,4,7,0,0,15,9,1,0,19,24,1,0,1,11,2915,1528368,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1528368,0.298,0.097,3.083,0.279,0.35,0.423,0.773,912
2014,1,"Steele, Keeton",29,Missouri,SEC,Sr,P,30,24,2,2.75,59,53,22,18,16,49,0,240,212,8,2,1,0,2,5,4,9,1,6,1,67,46,0,8,9,11,434,1440396,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=11620&stats_player_seq=1440396,0.204,0.067,3.062,0.25,0.316,0.307,0.623,911
2016,1,"Ladd, Dylan",6,Oakland City,Independent,Fr,P,21,13,5,3.89,39.1,42,24,17,20,24,1,186,159,9,0,1,4,5,5,0,7,0,2,0,47,39,4,1,0,6,1278,1774938,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1774938,0.129,0.108,1.2,0.264,0.364,0.396,0.76,0
2016,1,"Mason, Ryan",42,California,Pac-12,Sr,P,15,15,14,3.21,87,85,40,31,21,65,1,362,330,19,0,0,5,3,2,1,1,1,6,3,108,79,8,4,0,7,107,1438857,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1438857,0.18,0.058,3.095,0.258,0.303,0.361,0.664,905
