"year","Player","school","conference","1B","BB","HBP","IBB","SB","CS"
2013,"Brantley, Stafford","A&M-Corpus Christi","Southland",31,9,1,0,4,5
2013,"Danford, Kyle","A&M-Corpus Christi","Southland",19,6,1,0,9,1
2013,"Gonzales, Jonathan","A&M-Corpus Christi","Southland",51,10,4,1,1,1
2013,"Hubert, Jacob","A&M-Corpus Christi","Southland",3,2,0,0,0,1
2013,"Lamberti, Brad","A&M-Corpus Christi","Southland",17,14,5,0,0,1
2013,"Lee, Jordan","A&M-Corpus Christi","Southland",57,20,7,1,9,3
2013,"Lopez, Dom","A&M-Corpus Christi","Southland",9,10,1,0,0,1
2013,"Porras, Brad","A&M-Corpus Christi","Southland",52,12,3,0,3,0
2013,"Stephens, Cody","A&M-Corpus Christi","Southland",62,16,9,1,19,8
2013,"Taylor, Zach","A&M-Corpus Christi","Southland",45,14,4,0,5,5
2013,"Tierney, Brandon","A&M-Corpus Christi","Southland",31,5,14,0,0,2
2013,"Weiss, Eric","A&M-Corpus Christi","Southland",50,27,3,0,8,5
2014,"Danford, Kyle","A&M-Corpus Christi","Southland",51,19,4,0,12,5
2014,"Garza, Josh","A&M-Corpus Christi","Southland",25,6,2,0,1,0
2014,"Gibson, Zack","A&M-Corpus Christi","Southland",32,22,6,1,5,3
2014,"Hardy, Zacarias","A&M-Corpus Christi","Southland",17,2,0,0,2,1
2014,"Hermanson, Lukas","A&M-Corpus Christi","Southland",5,3,0,0,0,1
2014,"Hubert, Jacob","A&M-Corpus Christi","Southland",16,4,6,0,3,1
2014,"Lee, Jordan","A&M-Corpus Christi","Southland",57,23,1,0,18,7
2014,"Salas, Frankie","A&M-Corpus Christi","Southland",24,16,3,0,2,1
2014,"Stephens, Cody","A&M-Corpus Christi","Southland",51,6,8,1,11,1
2014,"Tierney, Brandon","A&M-Corpus Christi","Southland",55,21,15,2,5,2
2014,"Vaughan, Russell","A&M-Corpus Christi","Southland",35,33,7,0,6,2
2014,"Ware, Tyler","A&M-Corpus Christi","Southland",45,23,13,0,7,1
2014,"Yates, Dawson","A&M-Corpus Christi","Southland",11,5,0,0,1,0
2015,"Burner, Brett","A&M-Corpus Christi","Southland",32,14,1,0,3,1
2015,"Danford, Kyle","A&M-Corpus Christi","Southland",47,19,4,0,14,4
2015,"Geiser, Travis","A&M-Corpus Christi","Southland",1,2,1,0,1,0
2015,"Guilford, Brandon","A&M-Corpus Christi","Southland",14,13,0,0,6,1
2015,"Hardy, Zacarias","A&M-Corpus Christi","Southland",28,6,2,1,2,2
2015,"Hermanson, Lukas","A&M-Corpus Christi","Southland",24,19,0,0,1,0
2015,"Lee, Jordan","A&M-Corpus Christi","Southland",50,22,3,2,17,6
2015,"Perales, Justin","A&M-Corpus Christi","Southland",21,9,1,0,1,2
2015,"Salas, Frankie","A&M-Corpus Christi","Southland",24,11,2,1,1,1
2015,"Thomas, Casey","A&M-Corpus Christi","Southland",48,12,2,0,7,2
2015,"Ware, Tyler","A&M-Corpus Christi","Southland",36,35,11,5,16,7
2015,"Yates, Dawson","A&M-Corpus Christi","Southland",11,3,1,0,1,0
