rank,name,current_hit,future_hit,pitch_sel,bat_ctrl,current_game_power,future_game_power,current_raw_power,future_raw_power,current_speed,future_speed,current_fld,future_fld,avg_ev,hard_hit_pct,max_ev
1,Marcelo Mayer,25,60,50,55,20,50,45,55,35,40,45,50,,,
2,Henry Davis,35,50,45,45,35,70,70,70,40,40,30,40,,,109
4,Kahlil Watson,20,50,40,50,25,60,50,60,55,55,40,50,,,
5,Jordan Lawlar,25,55,50,60,20,50,45,50,60,60,45,60,,,
6,Brady House,20,45,40,60,25,70,60,80,45,40,40,50,,,
7,Colton Cowser,35,70,50,60,30,40,40,45,50,50,45,55,,,
9,Sal Frelick,35,60,60,60,30,45,40,45,60,60,45,60,,,
11,Matt McLain,35,60,50,60,30,40,45,45,60,60,45,50,86,,
13,Harry Ford,25,50,45,50,25,55,55,60,60,60,30,50,,,
15,Benny Montgomery,20,55,45,55,20,45,45,60,60,55,40,50,,,
22,Joshua Baez,20,40,40,30,25,60,60,70,50,40,40,50,,,
23,Jud Fabian,30,35,45,40,30,55,50,60,60,60,45,55,,,
24,Connor Norby,35,55,45,55,30,45,40,45,50,50,45,50,,,
25,Joe Mack,20,45,45,45,20,50,50,60,45,40,30,50,,,
26,Wes Kath,25,60,45,55,25,50,45,55,50,45,35,45,,,
29,Will Taylor,20,55,40,50,20,40,40,50,70,70,40,50,,,
30,Carson Williams,30,50,50,50,30,45,40,50,50,55,55,55,,,
31,Aaron Zavala,30,50,55,45,30,55,55,60,40,40,30,40,,,
33,Tyler Black,35,55,40,40,40,45,45,50,45,45,45,45,,,
34,Ethan Wilson,30,40,45,40,35,55,60,60,55,55,40,50,,,
35,Matheu Nelson,30,40,45,45,35,55,60,60,30,30,35,45,,,
38,Max Muncy,20,45,45,45,40,55,50,60,50,50,45,50,,,
39,Alex Binelas,35,60,45,55,30,50,50,50,30,30,40,45,,,
40,Reed Trimble,30,45,30,50,35,50,50,55,60,60,45,60,,,
43,Adrian Del Castillo,35,55,55,55,30,40,45,45,30,30,30,40,,,
45,Colson Montgomery,20,45,45,45,20,50,45,60,50,50,40,50,,,
48,Lonnie White Jr.,20,45,45,40,20,50,45,55,70,70,45,60,,,
51,Jay Allen,20,45,45,45,20,50,45,55,50,50,40,50,,,
53,Alex Mooney,25,55,40,45,20,40,40,45,55,55,45,55,,,
57,Davis Diaz,25,55,45,55,20,30,30,40,50,50,45,60,,,
58,Tre Sweeney,35,50,60,50,40,55,55,60,40,40,50,50,,,
59,Peyton Wilson,30,45,50,40,35,45,40,50,70,70,55,55,,,
60,Izaac Pacheco,20,50,45,40,25,60,50,60,45,30,40,50,,,
61,Peyton Stovall,25,55,50,55,20,40,40,45,45,45,40,45,,,
62,Luca Tresh,30,40,40,40,30,45,50,50,40,40,35,40,,,
63,Hunter Goodman,30,40,55,40,35,55,60,60,30,30,30,35,,,
65,James Wood,20,45,40,40,25,60,60,70,30,20,30,40,,,
66,Ryan Bliss,30,45,50,40,30,45,45,50,50,50,50,55,,,
67,Jackson Merrill,20,50,45,45,20,40,40,50,40,35,40,55,,,
68,Isaiah Thomas,30,40,30,40,35,55,60,70,50,50,40,50,,,
69,Niko Kavadas,35,45,60,40,55,65,65,70,30,30,45,45,,,
70,Ian Moller,25,55,40,35,20,50,45,50,40,40,30,50,,,
