rank,name,tj_date,fb_type,current_fb,future_fb,current_sl,future_sl,current_cb,future_cb,current_ch,future_ch,current_cmd,future_cmd,rpm_fb,rpm_breaking_ball,fb_min_range,fb_max_range,tops
3,Jack Leiter,,Rise,55,60,50,55,55,55,40,55,30,55,2100,2250,93,97,99
8,Kumar Rocker,,Rise,60,60,55,60,,,45,55,30,50,2250,2300,93,96,98
10,Jackson Jobe,,Tail,50,55,55,60,,,45,55,20,50,,,93,95,96
12,Ty Madden,,Rise,50,55,55,60,45,45,40,50,35,55,,,91,95,98
14,Gunnar Hoglund,,Tail,50,50,60,60,,,40,50,35,70,,,90,94,96
16,Bubba Chandler,,Rise,35,55,,,45,55,35,50,25,55,,,88,91,92
17,Jordan Wicks,,Rise,40,45,45,50,40,45,60,70,35,60,2300,2350,88,92,93
18,Sam Bachman,,Tail,65,65,55,60,,,35,40,30,40,2200,2350,95,99,101
19,Gavin Williams,,Sink,60,60,45,50,50,55,,,30,50,,,95,98,101
20,Ryan Cusick,,Rise/Tail,70,70,,,60,60,,,30,35,2400,2200,94,97,100
21,Andrew Painter,,Sink,50,60,50,55,45,50,30,45,25,50,,,93,96,98
27,Braden Montgomery,,Rise,35,55,,,35,50,20,45,20,55,,,89,92,93
28,Frank Mozzicato,,Rise,45,50,,,55,65,40,50,40,55,,,88,92,94
32,Anthony Solometo,,Tail,40,50,55,60,,,,,25,60,,,87,90,94
36,Matt Mikulski,,Tail,55,60,45,50,45,45,60,70,30,45,,,93,97,100
37,Jaden Hill,,Sink,60,70,60,60,45,50,55,60,30,40,2150,2400,94,97,99
41,Thatcher Hurd,,Rise,30,50,,,50,60,,,25,55,,,87,90,92
42,Michael McGreevy,,Sink/Tail,45,55,45,55,45,50,30,40,30,50,2100,2450,91,94,96
44,Will Bednar,,Tail,50,55,55,60,50,55,,,30,40,2300,2700,90,93,96
46,Tommy Mace,,Sink,50,50,45,50,45,50,40,45,35,55,,,91,95,97
47,Maddux Bruns,,Rise,50,60,,,50,60,30,40,20,45,,,91,95,97
49,Chase Petty,,Tail,60,60,60,70,,,,,30,45,,,93,96,100
50,Ben Kudrna,,Tail,40,50,45,55,,,45,50,20,50,,,91,95,96
52,Gage Jump,,Rise,50,60,30,50,55,60,20,30,20,45,,,90,92,94
54,Chase Burns,,,60,65,50,55,45,50,40,45,20,40,,,90,94,95
55,Josh Hartle,,Tail,40,60,45,55,,,40,55,25,55,,,87,91,
56,Caedmon Parker,,,40,55,,,55,70,,,20,45,,,90,93,94
64,Ricky Tiedemann,,Tail,45,50,50,55,,,50,55,20,55,,,88,92,
