"school","conference","school_id","year","division","conference_id"
"Albany (NY)","America East",14,2020,1,845
"Binghamton","America East",62,2020,1,845
"Hartford","America East",272,2020,1,845
"Maine","America East",380,2020,1,845
"Stony Brook","America East",683,2020,1,845
"UMBC","America East",391,2020,1,845
"UMass Lowell","America East",368,2020,1,845
"Cincinnati","AAC",140,2020,1,823
"UConn","AAC",164,2020,1,823
"East Carolina","AAC",196,2020,1,823
"Houston","AAC",288,2020,1,823
"Memphis","AAC",404,2020,1,823
"South Fla.","AAC",651,2020,1,823
"Tulane","AAC",718,2020,1,823
"UCF","AAC",128,2020,1,823
"Wichita St.","AAC",782,2020,1,823
"Davidson","Atlantic 10",173,2020,1,820
"Dayton","Atlantic 10",175,2020,1,820
"Fordham","Atlantic 10",236,2020,1,820
"George Mason","Atlantic 10",248,2020,1,820
"George Washington","Atlantic 10",249,2020,1,820
"La Salle","Atlantic 10",340,2020,1,820
"Massachusetts","Atlantic 10",400,2020,1,820
"Rhode Island","Atlantic 10",572,2020,1,820
"Richmond","Atlantic 10",575,2020,1,820
"Saint Joseph's","Atlantic 10",606,2020,1,820
"Saint Louis","Atlantic 10",609,2020,1,820
"St. Bonaventure","Atlantic 10",596,2020,1,820
"VCU","Atlantic 10",740,2020,1,820
"Boston College","ACC",67,2020,1,821
"Clemson","ACC",147,2020,1,821
"Duke","ACC",193,2020,1,821
"Florida St.","ACC",234,2020,1,821
"Georgia Tech","ACC",255,2020,1,821
"Louisville","ACC",367,2020,1,821
"Miami (FL)","ACC",415,2020,1,821
"NC State","ACC",490,2020,1,821
"North Carolina","ACC",457,2020,1,821
"Notre Dame","ACC",513,2020,1,821
"Pittsburgh","ACC",545,2020,1,821
"Virginia","ACC",746,2020,1,821
"Virginia Tech","ACC",742,2020,1,821
"Wake Forest","ACC",749,2020,1,821
"FGCU","ASUN",28755,2020,1,920
"Jacksonville","ASUN",316,2020,1,920
"Kennesaw St.","ASUN",1157,2020,1,920
"Liberty","ASUN",355,2020,1,920
"Lipscomb","ASUN",28600,2020,1,920
"NJIT","ASUN",471,2020,1,920
"North Ala.","ASUN",487,2020,1,920
"North Florida","ASUN",2711,2020,1,920
"Stetson","ASUN",678,2020,1,920
"Baylor","Big 12",51,2020,1,25354
"Kansas","Big 12",328,2020,1,25354
"Kansas St.","Big 12",327,2020,1,25354
"Oklahoma","Big 12",522,2020,1,25354
"Oklahoma St.","Big 12",521,2020,1,25354
"TCU","Big 12",698,2020,1,25354
"Texas","Big 12",703,2020,1,25354
"Texas Tech","Big 12",700,2020,1,25354
"West Virginia","Big 12",768,2020,1,25354
"Butler","Big East",87,2020,1,30184
"Creighton","Big East",169,2020,1,30184
"Georgetown","Big East",251,2020,1,30184
"Seton Hall","Big East",635,2020,1,30184
"St. John's (NY)","Big East",603,2020,1,30184
"Villanova","Big East",739,2020,1,30184
"Xavier","Big East",812,2020,1,30184
"Campbell","Big South",115,2020,1,826
"Charleston So.","Big South",48,2020,1,826
"Gardner-Webb","Big South",1092,2020,1,826
"High Point","Big South",19651,2020,1,826
