Name,Pos,Org,Top 100,Org Rk,Age,Hit,Pitch Sel,Bat Ctrl,Game,Raw,Spd,Fld,Avg EV,Hard Hit%,Max EV,FV,playerId
"Wander Franco","SS","TBR",1,1,"20.1416666","60 / 80",60,70,"45 / 60","55 / 55","60 / 60","50 / 55",89,0.39,108,"80","sa3007033"
"Adley Rutschman","C","BAL",3,1,"23.2111111","45 / 55",60,45,"45 / 55","60 / 60","40 / 35","60 / 70",91,0.39,107,"65","sa3011643"
"Randy Arozarena","LF","TBR",4,2,"26.1444444","50 / 55",50,55,"55 / 60","60 / 60","50 / 50","45 / 45",90,0.42,113,"60","19290"
"Jarred Kelenic","RF","SEA",5,0,"21.7666666","50 / 60",55,55,"50 / 60","60 / 60","50 / 45","45 / 45",90,0.43,107,"60","sa3007741"
"CJ Abrams","2B","SDP",6,0,"20.5527777","35 / 70",40,70,"30 / 55","45 / 55","80 / 80","35 / 45",89,0.41,102,"60","sa3010152"
"Ke'Bryan Hayes","3B","PIT",7,1,"24.2333333","55 / 60",60,55,"45 / 50","50 / 50","60 / 55","70 / 70",92,0.55,110,"60","18577"
"Cristian Pache","CF","ATL",8,1,"22.425","45 / 50",40,55,"40 / 45","50 / 55","70 / 70","80 / 80",88,0.36,105,"60","19948"
"Spencer Torkelson","1B","DET",9,1,"21.6555555","35 / 60",70,55,"35 / 65","65 / 70","40 / 40","40 / 40",97,0.66,112,"60","sa3014504"
"Marco Luciano","SS","SFG",11,1,"19.5361111","25 / 60",55,50,"25 / 70","60 / 70","50 / 45","30 / 40",92,0.5,109,"60","sa3010022"
"Andrew Vaughn","1B","CHW",14,1,"23.0527777","55 / 70",70,60,"50 / 60","60 / 60","30 / 30","40 / 40",91,0.46,111,"60","26197"
"Brandon Marsh","CF","LAA",15,0,"23.3444444","45 / 55",55,50,"45 / 55","55 / 60","60 / 55","50 / 55",90,0.42,110,"60","sa917944"
"Dylan Carlson","LF","STL",16,1,"22.4972222","50 / 55",55,50,"45 / 55","50 / 55","50 / 40","50 / 55",88,0.34,105,"60","20126"
"Alex Kirilloff","RF","MIN",17,1,"23.4527777","50 / 60",40,60,"50 / 60","60 / 60","30 / 30","40 / 40",91,0.47,107,"60","20325"
"Bobby Witt Jr.","SS","KCR",19,0,"20.8555555","30 / 45",50,40,"25 / 60","60 / 65","60 / 60","50 / 60",92,0.49,109,"60","sa3011225"
"Julio Rodriguez","RF","SEA",20,0,"20.3138888","30 / 55",45,60,"35 / 60","60 / 70","50 / 50","40 / 50",92,0.53,109,"60","sa3005720"
"Corbin Carroll","CF","ARI",21,1,"20.6694444","35 / 70",60,60,"30 / 50","45 / 50","70 / 70","50 / 60",91,0.48,108,"60","sa3010593"
"Vidal Brujan","2B","TBR",23,4,"23.2027777","50 / 65",55,60,"30 / 45","45 / 50","70 / 70","50 / 55",87,0.28,104,"60","sa872786"
"Luis Campusano","C","SDP",26,0,"22.5638888","50 / 60",55,60,"30 / 50","55 / 60","40 / 40","40 / 45",89,0.39,109,"55","22217"
"Francisco Alvarez","C","NYM",30,1,"19.425","25 / 55",55,50,"25 / 50","50 / 55","45 / 40","45 / 55",89,0.39,104,"55","sa3010862"
"JJ Bleday","RF","MIA",34,3,"23.45","45 / 55",60,55,"45 / 55","55 / 55","45 / 40","50 / 60",88,0.31,109,"55","sa3011642"
