Name,Pos,Org,Top 100,Org Rk,Age,TJ Date,FB Type,FB,SL,CB,CH,CMD,RPM FB,RPM Break,Sits,Tops,FV,playerId
"MacKenzie Gore","SP","SDP",2,0,"22.1611111",,"Rise","55 / 60","50 / 55","50 / 50","50 / 60","50 / 70",2150,2000,"91-95","97","70","sa3005068"
"Nate Pearson","SP","TOR",10,1,"24.6722222",,"Rise","70 / 70","65 / 70","45 / 45","40 / 55","45 / 50",2350,2600,"95-100","102","60","20160"
"Luis Patino","SP","TBR",12,3,"21.4888888",,"Rise","65 / 65","55 / 60","","45 / 55","40 / 60",2500,2500,"93-97","99","60","22815"
"Ian Anderson","SP","ATL",13,2,"22.9722222",,"Rise","55 / 60","","50 / 55","70 / 70","55 / 60",2150,1700,"91-95","97","60","19951"
"Matt Manning","SP","DET",18,2,"23.2333333",,"Rise","60 / 60","","60 / 60","50 / 55","45 / 55",2100,2300,"93-96","98","60","sa917924"
"Tarik Skubal","SP","DET",22,3,"24.4222222","4/20/16","Rise","70 / 70","60 / 60","45 / 45","45 / 50","35 / 45",2400,2250,"93-96","97","60","22267"
"Asa Lacy","SP","KCR",24,0,"21.8888888",,"Rise","60 / 65","60 / 70","50 / 55","45 / 50","30 / 45",2200,2400,"93-96","97","55","sa3014423"
"Max Meyer","SP","MIA",25,1,"22.1111111",,"Sink/Tail","60 / 70","65 / 70","","45 / 55","30 / 45",,,"94-98","101","55","sa3014430"
"Sixto Sanchez","SP","MIA",27,2,"22.7305555",,"Tail","60 / 60","50 / 50","","60 / 70","50 / 55",2100,2400,"95-99","101","55","19680"
"Josiah Gray","SP","LAD",28,1,"23.3361111",,"Rise/Tail","55 / 55","50 / 55","","50 / 55","50 / 60",2300,2400,"92-95","96","55","sa3007475"
"Grayson Rodriguez","SP","BAL",29,2,"21.4333333",,"Tail","60 / 60","50 / 55","55 / 55","55 / 60","40 / 50",2400,2650,"90-95","97","55","sa3008130"
"Casey Mize","SP","DET",31,4,"23.975",,"Tail","55 / 55","60 / 60","","","55 / 60",2250,2500,"92-95","97","55","20492"
"Spencer Howard","SP","PHI",32,1,"24.7333333",,"Rise","55 / 55","50 / 55","55 / 55","60 / 60","40 / 45",2350,2400,"93-97","98","55","23252"
"Michael Kopech","SP","CHW",33,2,"24.9777777","9/18/18","Rise","70 / 70","55 / 60","50 / 55","40 / 45","40 / 45",2550,2600,"94-98","101","55","17282"
"Logan Gilbert","SP","SEA",36,0,"23.9638888",,"Rise","55 / 60","45 / 50","50 / 50","45 / 55","50 / 60",2250,2550,"91-94","96","55","sa3008598"
"Quinn Priester","SP","PIT",45,2,"20.6027777",,"Rise","55 / 60","","70 / 80","40 / 50","30 / 45",2150,2500,"94-97","99","55","sa3011297"
"Emerson Hancock","SP","SEA",56,0,"21.8944444",,"Tail","55 / 60","55 / 60","45 / 50","55 / 60","35 / 55",,,"93-96","97","50","sa3014456"
"Triston McKenzie","SP","CLE",57,2,"23.7222222",,"Rise","50 / 50","45 / 50","55 / 55","45 / 50","50 / 60",2350,2200,"90-95","97","50","18000"
"Deivi Garcia","SP","NYY",59,2,"21.925",,"Rise","50 / 50","45 / 50","60 / 60","55 / 60","50 / 55",2200,2700,"91-95","97","50","20276"
"Daniel Lynch","SP","KCR",61,0,"24.4305555",,"Tail","55 / 55","50 / 55","50 / 50","45 / 50","50 / 60",2350,2250,"91-95","97","50","sa3007588"
"Edward Cabrera","SP","MIA",62,5,"23.025",,"Tail","60 / 60","50 / 60","","45 / 55","45 / 50",2250,2300,"93-97","99","50","sa920423"
"Simeon Woods Richardson","SP","TOR",72,3,"20.5694444",,"Cut/Rise","50 / 55","","50 / 50","55 / 60","40 / 55",2300,2350,"90-94","97","50","sa3008423"
