px,pz,batter,pitchcall,pitch,ev,la,dist
-0.44534,2.98054,Example LHB,BallCalled,Slider,NA,NA,NA
0.1357,2.44112,Example LHB,FoulBall,Slider,NA,NA,NA
0.28876,1.91418,Example RHB,InPlay,Fastball,95.65465,27.846488,349.59526
-0.35534,2.24897,Example LHB,InPlay,Fastball,84.90556,51.991998,202.92634
-0.4176,2.41201,Example RHB,InPlay,Fastball,85.57829,10.048346,140.36157
-0.56967,0.88696,Example LHB,StrikeSwinging,ChangeUp,NA,NA,NA
-0.42954,3.25028,Example RHB,StrikeSwinging,Fastball,NA,NA,NA
1.31616,1.41131,Example LHB,BallCalled,Fastball,NA,NA,NA
0.57184,3.37527,Example LHB,BallCalled,Fastball,NA,NA,NA
-0.31095,-0.21004,Example LHB,BallinDirt,Fastball,NA,NA,NA
1.05468,2.84592,Example LHB,StrikeCalled,Slider,NA,NA,NA
0.89131,3.71984,Example LHB,InPlay,Fastball,94.34793,19.371946,240.95019
-0.00144,2.71233,Example LHB,InPlay,Slider,94.15259,14.481063,269.68925
0.79523,0.63759,Example LHB,BallCalled,Fastball,NA,NA,NA
-0.93478000000000006,1.08377,Example RHB,BallCalled,Fastball,NA,NA,NA
0.71098,1.68024,Example LHB,BallCalled,Fastball,NA,NA,NA
-1.11283,1.16842,Example RHB,BallCalled,Slider,NA,NA,NA
-0.52311,2.85937,Example LHB,BallCalled,Fastball,NA,NA,NA
-2.0409,3.72342,Example RHB,BallCalled,Fastball,NA,NA,NA
-0.39855,2.39237,Example RHB,FoulBall,Fastball,NA,NA,NA
-0.14867,2.67314,Example LHB,InPlay,Fastball,91.89097,7.108921,144.96911
-0.07396,3.8647,Example LHB,FoulBall,Fastball,77.47555,29.782177,256.97507
1.24296,2.41816,Example LHB,StrikeCalled,ChangeUp,NA,NA,NA
0.54117,2.78958,Example LHB,StrikeCalled,Fastball,NA,NA,NA
1.63214,3.01798,Example LHB,BallCalled,Fastball,NA,NA,NA
-0.4352,1.97967,Example RHB,InPlay,Slider,93.30396,-8.780125,14.06918
2.42406,3.8279,Example LHB,BallCalled,ChangeUp,NA,NA,NA
1.76368,4.42906,Example LHB,BallCalled,Fastball,NA,NA,NA
-0.23317,3.19745,Example LHB,StrikeSwinging,Fastball,NA,NA,NA
0.06739,2.97443,Example LHB,StrikeSwinging,Fastball,NA,NA,NA
-1.48975,1.32783,Example RHB,BallCalled,Fastball,NA,NA,NA
-0.14335,1.70691,Example RHB,FoulBall,Fastball,NA,NA,NA
0.78622,1.70265,Example LHB,StrikeCalled,Fastball,NA,NA,NA
-0.06874,2.41529,Example LHB,FoulBall,Fastball,NA,NA,NA
1.60569,2.92325,Example LHB,BallCalled,Fastball,NA,NA,NA
0.29199,1.59631,Example LHB,FoulBall,ChangeUp,NA,NA,NA
-0.15667,3.84399,Example RHB,BallCalled,Fastball,NA,NA,NA
0.004,1.65272,Example RHB,FoulBall,Fastball,73.04724,19.231693,167.60124
0.22022,3.32004,Example LHB,StrikeSwinging,Fastball,NA,NA,NA
-1.55901,0.68956,Example RHB,BallCalled,Slider,NA,NA,NA
1.21121,0.94713,Example RHB,BallCalled,Fastball,NA,NA,NA
0.82435,3.49081,Example LHB,StrikeCalled,Slider,NA,NA,NA
-0.17353,2.43775,Example RHB,InPlay,Fastball,101.66476,51.895457,246.80765
-0.108,1.43001,Example RHB,StrikeCalled,Fastball,NA,NA,NA
0.42957,2.07885,Example LHB,StrikeCalled,Fastball,NA,NA,NA
