"year","BA","OBP","SLG","school","K%","BB%","ISO","OPS","tourn_appearance","cws_appearance","cws_final","cws_champ","RC.PA","K-BB%","ERA","SO_PCT","BB_PCT","SO_BB_Ratio","FIP","BAA","OBPA","SLGA","OPSA","GO.O","FO.O","XB.PA","HR.PA","RBI.PA","SF.PA","SH.PA","DP.PA","R.PA","RA.BF","XBA.BF","HRA.BF","KL.BF"
2019,0.292,0.386,0.422,"George Washington",0.155,0.11,0.13,0.808,0,0,0,0,0.135,0.045,5.46,0.186,0.118,1.58,4.28,0.284,0.381,0.415,0.796,0.295,0.355,0.072,0.016,0.15,0.01,0.009,0.018,0.166,0.154,0.071,0.017,0.046
2017,0.271,0.374,0.412,"Oklahoma",0.177,0.116,0.141,0.786,1,0,0,0,0.122,0.061,4.4,0.23,0.118,1.952,4,0.249,0.352,0.34,0.692,0.337,0.268,0.068,0.022,0.139,0.009,0.014,0.023,0.156,0.127,0.052,0.011,0.067
2014,0.257,0.35,0.354,"Miami (FL)",0.166,0.107,0.097,0.704,1,0,0,0,0.101,0.059,2.94,0.215,0.084,2.56,3.75,0.241,0.318,0.303,0.621,0.376,0.265,0.057,0.01,0.12,0.008,0.027,0.017,0.132,0.095,0.043,0.004,0.068
2017,0.246,0.327,0.336,"Pepperdine",0.18,0.08,0.09,0.663,0,0,0,0,0.091,0.1,4.32,0.162,0.096,1.691,4.29,0.27,0.356,0.385,0.741,0.328,0.375,0.057,0.009,0.095,0.008,0.014,0.021,0.106,0.127,0.054,0.021,0.043
2014,0.246,0.332,0.329,"Southern Miss.",0.176,0.085,0.083,0.661,0,0,0,0,0.088,0.091,3.58,0.196,0.089,2.217,3.91,0.251,0.338,0.314,0.652,0.329,0.32,0.048,0.011,0.106,0.008,0.017,0.02,0.116,0.11,0.039,0.006,0.061
2018,0.266,0.342,0.35,"The Citadel",0.188,0.084,0.084,0.692,0,0,0,0,0.102,0.104,5.85,0.184,0.107,1.713,4.35,0.293,0.386,0.443,0.829,0.299,0.351,0.05,0.009,0.103,0.011,0.016,0.018,0.116,0.166,0.076,0.022,0.041
2018,0.25,0.346,0.359,"Northwestern",0.196,0.102,0.109,0.705,0,0,0,0,0.104,0.094,6.2,0.157,0.122,1.285,4.47,0.29,0.395,0.43,0.825,0.335,0.357,0.057,0.014,0.115,0.013,0.008,0.013,0.128,0.168,0.069,0.02,0.05
2013,0.237,0.32,0.309,"Hartford",0.191,0.077,0.072,0.629,0,0,0,0,0.077,0.114,5.4,0.168,0.099,1.693,4.11,0.278,0.373,0.366,0.739,0.379,0.296,0.048,0.004,0.093,0.011,0.029,0.021,0.106,0.162,0.053,0.008,0.065
2015,0.258,0.347,0.35,"Duke",0.207,0.104,0.092,0.697,0,0,0,0,0.103,0.103,3.29,0.216,0.097,2.239,3.83,0.247,0.33,0.325,0.655,0.365,0.271,0.058,0.006,0.109,0.015,0.008,0.012,0.125,0.101,0.048,0.007,0.062
2018,0.268,0.364,0.44,"Illinois",0.168,0.107,0.172,0.804,0,0,0,0,0.133,0.061,4.12,0.176,0.099,1.782,4.15,0.254,0.34,0.36,0.7,0.386,0.299,0.082,0.029,0.144,0.012,0.01,0.02,0.155,0.125,0.057,0.016,0.047
2015,0.274,0.375,0.423,"Coastal Carolina",0.176,0.112,0.149,0.798,1,0,0,0,0.126,0.064,3.91,0.196,0.086,2.282,3.96,0.259,0.334,0.355,0.689,0.354,0.297,0.069,0.026,0.15,0.014,0.026,0.02,0.168,0.125,0.056,0.012,0.06
2017,0.276,0.38,0.381,"Central Mich.",0.163,0.115,0.105,0.761,0,0,0,0,0.114,0.048,5.3,0.163,0.11,1.481,4.18,0.288,0.379,0.401,0.78,0.349,0.332,0.056,0.012,0.131,0.012,0.026,0.017,0.148,0.153,0.062,0.012,0.045
2017,0.248,0.358,0.327,"Northern Ill.",0.171,0.13,0.079,0.685,0,0,0,0,0.096,0.041,5.15,0.151,0.124,1.214,4.43,0.278,0.386,0.396,0.782,0.325,0.381,0.043,0.008,0.098,0.009,0.01,0.021,0.111,0.155,0.061,0.016,0.05
2018,0.249,0.34,0.354,"Delaware",0.203,0.1,0.105,0.694,0,0,0,0,0.101,0.103,3.9,0.209,0.093,2.25,4.04,0.249,0.341,0.355,0.696,0.326,0.315,0.057,0.013,0.101,0.008,0.011,0.019,0.112,0.125,0.057,0.013,0.051
2015,0.266,0.35,0.371,"Ark.-Pine Bluff",0.168,0.081,0.105,0.721,0,0,0,0,0.103,0.087,4.53,0.208,0.088,2.356,4.01,0.275,0.355,0.381,0.736,0.32,0.306,0.06,0.013,0.132,0.007,0.016,0.022,0.151,0.139,0.057,0.014,0.062
2018,0.243,0.339,0.338,"UTRGV",0.243,0.098,0.095,0.677,0,0,0,0,0.093,0.145,4.67,0.206,0.102,2.014,4.16,0.27,0.359,0.398,0.757,0.315,0.313,0.05,0.013,0.096,0.007,0.01,0.019,0.115,0.138,0.066,0.019,0.057
