"Name","Rank","Position","School","Class","Born_City","Born_State","Born_Country","Bats","Throws","Description"
"Spencer Torkelson",1,"1B","Arizona State","4YR JR","Petaluma","CA","USA","R","R","Torkelson wasn't drafted as a high schooler from Northern California in 2017, but made it very clear in his first year at Arizona State that he'd be someone worth talking about come 2020 by being one of the best freshman bats in the country, then went out and performed well for both USA Baseball and in the Cape Cod League. He put up more monster numbers as a sophomore before playing for Team USA again, setting the stage for him to be among the top players considered for the top of the first round. As a right-handed first baseman who can really hit and who wasn't drafted out of high school, Torkelson draws invariable comparisons to Andrew Vaughn, the Cal standout who was the No. 3 pick in the 2019 Draft. He controls at-bats extremely well and draws a ton of walks. He's able to drive the ball from foul pole to foul pole and he uses the middle of the field when he's at his best. He's able to hit the ball out to all fields, with tremendous loft power to his pull side. He doesn't sell out for that power, but gets to it with ease. Defensively, he's worked hard to improve at first and is very comfortable there. He's taken some groundballs at third and played some left field, where he's adequate. But it will really be his bat that has him in conversations about the first few picks in June."
"Austin Martin",2,"OF","Vanderbilt","4YR JR","DeLand","FL","USA","R","R","Martin has a chance to follow the path set by Dansby Swanson, who played a starring role in a Vanderbilt national championship and went No. 1 overall in the 2015 Draft. A 37th-round pick by the Indians as a Florida high schooler in 2017, he could have gone in the top five rounds if signability weren't a factor. He started games at six different positions as a freshman and opened last year at second base before settling in at third base, leading NCAA Division I in runs (87) and the Southeastern Conference in hitting (.392) and on-base percentage (.486). The best pure hitter in the 2020 Draft, Martin has tremendous feel for the barrel and makes consistent hard contact with a short, quick right-handed stroke. He's not overly physical and may not have more than average raw power, but his hitting ability allows him to tap into every bit of it. He controls the strike zone extremely well and uses the entire field, exhibiting no weaknesses at the plate. Martin possesses solid speed and the instincts to play faster than that on the bases. A twitchy athlete, he has the quick feet, soft hands and enough arm to handle almost any position, though there are some concerns about his throwing. Scouts were hoping to see him at shortstop in 2020, but he instead opened the season at third base before moving to center field (where he could be a solid defender), and there's some thought he could wind up at second base."
"Asa Lacy",3,"P","Texas A&M","4YR JR","Bryan","TX","USA","L","L","Though Lacy exuded projection and top-five-rounds talent as a Texas high schooler in 2017, his $1 million price tag to give up his commitment to Texas A&M caused him to slide to the Indians in the 31st round. He has improved as hoped and will command a much higher bonus in the 2020 Draft, where he could surpass Jeff Granger (fifth overall, 1993) as the highest selection in Aggies history. After ranking third in NCAA Division I in opponent average (.162) and eighth in strikeouts per nine innings (13.2) as a sophomore, he pitched well with the U.S. collegiate national team in the summer. Lacy has boosted his fastball from 87-91 mph in high school to 92-97 these days, using his 6-foot-4 frame to create downhill plane, and hitters just don't seem to get good swings against it. He employs two distinct breaking balls, a downer curveball and a harder slider in the low 80s, with the slider surpassing his curve this spring and becoming a plus pitch. His changeup fades and sinks and grades as a well above-average pitch at its best, and it should become more consistently plus as he uses it more often. Lacy's biggest need is to improve his command and control. There's some effort in his three-quarters delivery and he's still learning to harness his overpowering stuff, so he can't always locate his pitches where he wants. Even without precise placement, he's a left-hander who can get swings and misses with four different offerings."
"Emerson Hancock",4,"P","Georgia","4YR JR","Thomasville","GA","USA","R","R","Hancock rated as Georgia's second-best prep pitching prospect in 2017 (behind Orioles first-rounder D.L. Hall) but priced himself almost entirely out of the Draft because he wanted to attend Georgia. He was college baseball's best pitcher for the first half of the 2019 season, surrendering a total of eight runs in 10 starts before missing two weeks with a lat issue and not dominating as much once he returned. Though he wasn't at his sharpest during the brief 2020 season, he's still on course to become the highest Draft pick in Bulldogs history, surpassing Jeff Pyburn (fifth overall, 1980). Hancock shares a lot in common with Casey Mize, whom Detroit took with the top pick in 2018. They're both Southeastern Conference right-handers with similar builds who pound the strike zone with a deep repertoire and missed some time during their sophomore seasons. His best offering is a fastball that sits at 94-97 mph and peaks at 99 with riding life, and all three of his secondary pitches grade as at least plus at their best. His go-to breaking ball is a mid-80s slider with which he manipulates the break exceptionally well, and Hancock also has a hard curveball that he relied on more in high school. He hasn't had to use his changeup much but he fades and locates it well, earning some plus-plus grades at times. A quality athlete with good body control, he commands his entire arsenal and should be a frontline starter if he stays healthy."
"Nick Gonzales",5,"2B","New Mexico State","4YR JR","Vail","AZ","USA","R","R","Gonzales has hit wherever he's been, but there's often been a bit of an asterisk by his name. He hit around .600 during his senior year of high school, but it wasn't against great competition in the Tucson, Arizona area high school ranks, and scouts wanted to see him in college. He put up good numbers as a freshman and video game numbers as a sophomore, but it was at the hitting haven that is New Mexico State. But when Gonzales went out and won Cape Cod League MVP honors this past summer by hitting .351/.451/.630, he all but put an end to the caveats. The 5-foot-10 middle infielder has as much pure hitting ability as just about any bat in the 2020 class. He does it with a short and compact swing and a ton of bat speed, controlling the bat head extremely well through the strike zone. There's strength in his compact frame, but he might be more of a doubles hitter even though he did homer seven times on the Cape in 154 at-bats with wood. Gonzales has decent speed and is a solid baserunner, and while he played shortstop this spring, evaluators don't think he has the arm or range to play shortstop. That does limit him to second base, but he's at least average there defensively. Gonzales fits the profile well as an offensive-minded second baseman, reminding some of the Brewers' Keston Hiura, who went in the top 10 of the 2017 Draft. There are less questions about Gonzales' defense and he might be more athletic, so it wouldn't be surprising to see him go in the same neck of the woods in the 2020 first round."
"Garrett Mitchell",6,"CF","UCLA","4YR JR","Orange","CA","USA","L","R","Mitchell was a solid high school prospect at Orange Lutheran in California, one who was firmly in the middle of the Draft Top 100 in 2017. As toolsy as they come, concerns about his ability to tap into those tools consistently and his commitment to UCLA led to him not being selected until the 14th round (by the A's). He started to make good on his potential during a strong sophomore season with the Bruins, though he didn't get a chance to show what he could do with Team USA after a leg injury forced him off the Collegiate National Team. He wasn??t fully cleared last fall, but he still impressed scouts with his batting practice sessions, and he had all tools on display this spring. Mitchell has made real strides with his swing, one of the concerns when he was coming out of high school. He hit consistently for the first time in 2019 and he was doing it again during his junior season. He showed plus power in BP and his ability to transfer that to games makes him one of the top picks in the country. Big and strong, Mitchell is an easily plus runner who can steal bases and cover a ton of ground in center field, a premium position he'll be able to play long term with the chance to develop into at least an above-average defender in time. Mitchell has been playing with Type 1 diabetes since being diagnosed in third grade and has shown he can be a premium athlete while dealing with the disease. Armed with perhaps the best collection of tools in this Draft class, the team taking him will be the one that believes he will be able to use those tools consistently in games at the pro level."
"Zac Veen",7,"CF","Spruce Creek HS","HS SR","Port Orange","FL","USA","L","R","There have been high school outfielders in the Class of 2020 who have been ""famous"" for a lot longer than Veen, a Daytona Beach-area standout. While he was the 2018 PG WWBA Underclass World Championship MVP a year ago, it really wasn't until he was arguably the most consistent performer on this past summer's showcase circuit that he jumped up Draft boards. With a hot start to his spring, he kept soaring up lists to be considered the top high school bat in the class. Veen has the kind of left-handed swing that scouts can dream on, all coming from a projectable 6-foot-4 frame that can definitely add strength. He's more hit over power in games with excellent bat speed, especially because he utilizes a spread out stance, but he'll show off big-time power in batting practice when he stands more upright and creates leverage, showing the ability to loft the ball consistently. He's reminded some of Cody Bellinger offensively and has drawn some Kyle Tucker comps as well, though he's not quite as athletic. A solid average runner underway, Veen plays center field now, but is probably better suited for a corner spot. The Florida recruit is athletic enough with enough arm to profile in right, where his power potential could be a fit as well. If he continues to swing the bat like he did over the summer, he could very well figure into first-round conversations. His step forward at the start of the 2020 season, picking up from where he left off over the summer, has him very much in conversations among teams picking in the top 10."
"Reid Detmers",8,"P","Louisville","4YR JR","Nokomis","IL","USA","L","L","One of Illinois' best high school pitching prospects in 2017, Detmers didn't have wow stuff and was strongly committed to Louisville, so he lasted until the Braves took him in the 32nd round. Three years later, he should go in the top 10 picks as the most polished left-hander available. He set Cardinals records for wins (13, first in NCAA Division I) and strikeouts (167, second in D-I) while leading Louisville to the College World Series as a sophomore in 2019, served as the U.S. collegiate national team's best starter during the summer, then ranked second in D-I in whiffs (48) and whiff rate (19.6 per nine innings) during the shortened 2020 season. Detmers is similar to former Cardinals star Brendan McKay, with an almost identical build and slightly less stuff. His fastball usually ranges from 90-94 mph but plays better than its average velocity because hitters don't seem to see it and he commands it so well. His 72-76 mph curveball has good shape and can be a plus pitch at its best, while his sinking changeup is effective as well. Detmers has a strong, durable frame that helps him repeat his delivery with ease, allowing him to pound the strike zone. His ability to locate his pitches permits him to succeed even when his fastball dips into the upper 80s. He has some of the best pitchability and mound presence in the 2020 Draft, traits that should help him become a mid-rotation starter."
"Max Meyer",9,"P","Minnesota","4YR JR","Woodbury","MN","USA","L","R","Meyer starred at Woodbury (Minn.) High but lacked physicality, so he lasted 34 rounds before the Twins took him in the 2017 Draft. He has continued to perform well at Minnesota, tying the school record with 16 saves as a freshman and leading the U.S. collegiate national team with seven that summer. Desperate for starters, the Gophers shifted him to the rotation a month into his sophomore year and he responded with a 2.11 ERA (second in the Big Ten Conference) before tying for the Team USA lead with a 0.69 mark. Meyer owns the best slider in the 2020 Draft, a wipeout 87-91 mph offering with which he can add and subtract depth. His four-seam fastball is a weapon as well, parking at 93-97 mph this spring, hitting 98 in the ninth inning of one start and maxing out at 100. His fading changeup showed flashes of becoming a solid pitch as he used it more often as a junior. There are questions as to whether Meyer can start at the highest level, mainly coming because he's a lean 6-footer. But he's also a quality athlete who repeats a fluid delivery and fills the strike zone, and he was so dominant in the brief 2020 season, so he has plenty of believers. A dogged competitor who also got regular at-bats in the Minnesota lineup, he's expected to go in the first 10 picks, which would push him past Glen Perkins (No. 22 overall in 2004) as the Gophers' highest-drafted pitcher ever."
"Heston Kjerstad",10,"RF","Arkansas","4YR JR","Amarillo","TX","USA","L","R","A 36th-round pick by the Mariners as a Texas high schooler in 2017, Kjerstad teamed with fellow top prospect Casey Martin to lead Arkansas to back-to-back College World Series appearances in their first two years of college. His 14 homers in 2018 broke the school freshman record of 13 set by eventual first-rounder Zack Cox in 2009, and Kjerstad encored with 17 as a sophomore. He offers the best left-handed power in the 2020 college class and only potential No. 1 overall pick Spencer Torkelson has more pop among collegians. Kjerstad's strength and bat speed give him well above-average raw power to all fields. He has a complicated swing that features a big hand circle in his load, so he has to be precise with his timing to make it work -- but he has done so in college and was the top performer in the U.S. collegiate team's lineup last summer. He's an aggressive hitter who always will accumulate strikeouts as a tradeoff for his pop. Though Kjerstad records below-average running times out of the batter's box, he displays average speed once he gets going. He's not a threat on the bases but plays a capable right field. His huge power and solid arm strength fit the profile for the position."
