FG_Rank,Name,FG_Pos,Age,Hit,Game,Raw,Spd,Fld,Arm,Athl,Frame,Perf,FV
1,Spencer Torkelson,1B,20.7777777,35 / 55,35 / 65,65 / 70,40 / 40,45 / 50,40 / 40,,,2,55
3,Austin Martin,CF,21.2027777,35 / 60,35 / 55,50 / 50,50 / 50,35 / 45,40 / 45,1,,2,50
5,Zac Veen,CF,18.4833333,25 / 55,25 / 60,55 / 65,60 / 55,40 / 50,50 / 50,1,2,1,50
6,Nick Gonzales,2B,21.025,35 / 60,35 / 50,55 / 55,40 / 40,40 / 45,45 / 45,,-1,2,50
7,Heston Kjerstad,RF,21.3166666,35 / 55,35 / 60,55 / 60,50 / 45,45 / 50,50 / 50,,1,2,50
11,Ed Howard,SS,18.3555555,25 / 50,20 / 50,45 / 55,50 / 55,45 / 55,55 / 55,2,1,1,45+
12,Patrick Bailey,C,21.0194444,35 / 50,30 / 45,50 / 50,30 / 30,40 / 50,55 / 55,,1,2,45+
13,Austin Hendrick,RF,18.975,20 / 40,25 / 60,60 / 70,50 / 45,45 / 50,55 / 55,1,1,,45+
14,Garrett Mitchell,CF,21.7555555,35 / 50,30 / 45,55 / 55,70 / 70,45 / 55,55 / 55,1,,1,45+
15,Robert Hassell,CF,18.8083333,25 / 60,20 / 45,45 / 50,55 / 55,40 / 50,60 / 60,,1,2,45
20,Tyler Soderstrom,C,18.5333333,25 / 60,20 / 50,45 / 55,40 / 40,30 / 45,50 / 50,1,1,1,45
25,Pete Crow-Armstrong,CF,18.1972222,25 / 50,20 / 40,45 / 50,60 / 60,50 / 70,50 / 50,1,,,45
26,Justin Foscue,2B,21.2611111,35 / 60,30 / 40,40 / 45,45 / 45,45 / 50,40 / 40,-1,-1,2,45
29,Dillon Dingler,C,21.7194444,35 / 50,30 / 45,50 / 50,45 / 45,45 / 55,55 / 55,1,,1,45
32,Jordan Westburg,SS,21.3,35 / 55,30 / 45,50 / 50,55 / 55,40 / 45,45 / 45,,,2,45
33,Nick Loftin,SS,21.6972222,35 / 50,30 / 45,50 / 50,55 / 55,45 / 50,60 / 60,,,,45
35,Freddy Zamora,SS,21.5972222,30 / 50,35 / 45,50 / 55,60 / 60,50 / 60,55 / 55,,,,40+
37,Aaron Sabato,1B,21.0055555,35 / 55,35 / 55,55 / 60,30 / 30,40 / 50,50 / 50,-2,-1,2,40+
38,Daniel Cabrera,LF,21.7527777,35 / 55,30 / 50,50 / 55,45 / 45,45 / 50,50 / 50,-1,,2,40+
40,Austin Wells,1B,20.9,35 / 50,35 / 50,55 / 55,45 / 45,35 / 45,40 / 40,,1,1,40+
41,Jordan Walker,3B,18.0388888,25 / 55,20 / 55,60 / 70,50 / 45,45 / 50,55 / 55,1,1,,40+
43,Casey Martin,SS,21.1638888,30 / 40,35 / 50,55 / 60,80 / 80,45 / 50,55 / 55,2,1,-1,40+
46,Dylan Crews,RF,18.2777777,25 / 55,25 / 55,55 / 60,55 / 55,45 / 50,55 / 55,,,,40+
50,Drew Bowser,3B,18.6777777,20 / 50,25 / 60,55 / 70,45 / 40,40 / 50,60 / 60,,2,,40+
54,Carson Tucker,SS,18.3666666,20 / 45,20 / 45,45 / 55,55 / 50,45 / 50,55 / 60,,,,40+
58,Elijah Nunez,CF,18.5,20 / 45,20 / 50,45 / 50,60 / 60,45 / 55,50 / 50,2,-1,,40+
59,Petey Halpin,CF,18.0277777,,,,60 / 60,45 / 50,60 / 60,,,,40+
63,Parker Chavers,CF,21.8638888,25 / 50,25 / 45,50 / 50,60 / 60,45 / 60,50 / 50,,,,40+
65,Chase Davis,RF,18.5027777,25 / 50,25 / 50,45 / 55,50 / 50,45 / 55,60 / 60,,,,40+
66,Drew Romo,C,18.7694444,20 / 40,20 / 40,45 / 60,30 / 30,45 / 60,60 / 60,1,1,,40+
69,Yohandy Morales,3B,18.6583333,20 / 45,40 / 55,60 / 65,45 / 40,40 / 50,55 / 55,,,,40+
77,Alika Williams,SS,21.2333333,,,,,,60 / 60,,,,40
115,Blaze Jordan,1B,17.4638888,25 / 55,30 / 55,55 / 65,35 / 30,40 / 50,50 / 50,,,,40
157,Cayden Wallace,3B,18.8305555,20 / 45,25 / 55,50 / 55,40 / 35,40 / 50,60 / 60,,,,35+
190,Raymond Gil,3B,21.3972222,,,,,,60 / 60,,,,35+
194,Jacob Young,2B,20.8583333,20 / 50,20 / 40,45 / 50,70 / 70,45 / 50,50 / 50,,,,35+
COL-H-18,Jason Hodges,LF,18.9444444,25 / 50,25 / 55,60 / 65,45 / 45,45 / 50,45 / 45,,,,35
COL-H-19,Nander De Sedas,SS,20.8638888,20 / 45,20 / 45,50 / 55,50 / 45,40 / 50,55 / 55,,,,35
