FG_Rank,Name,Pos,Age,TJ Date,FB,SL,CB,CH,CMD,Sits,Tops,Athl,Frame,Perf,FV
2,Asa Lacy,LHP,21.0111111,,60 / 65,60 / 70,50 / 55,45 / 50,30 / 45,93-96,98,1,1,2,50
4,Emerson Hancock,RHP,21.0166666,,55 / 60,55 / 60,45 / 50,55 / 60,35 / 55,93-96,97,1,2,1,50
8,Max Meyer,RHP,21.2333333,,60 / 70,65 / 70,,30 / 45,30 / 45,94-98,101,1,,1,45+
9,Mick Abel,RHP,18.8,,50 / 60,,50 / 60,45 / 55,25 / 50,92-94,97,1,2,1,45+
10,Reid Detmers,LHP,20.9111111,,45 / 45,40 / 45,65 / 65,45 / 55,35 / 60,89-92,94,1,,2,45+
16,Nick Bitsko,RHP,17.9722222,,50 / 60,,50 / 60,35 / 50,25 / 50,92-95,97,1,1,-1,45
17,Cade Cavalli,RHP,21.8111111,,55 / 60,55 / 55,55 / 60,40 / 50,35 / 45,93-97,98,1,2,,45
18,Cole Wilcox,RHP,20.8944444,,55 / 60,55 / 60,,45 / 55,35 / 45,93-97,100,-1,,1,45
19,Clayton Beeter,RHP,21.6583333,,70 / 70,70 / 70,60 / 60,40 / 45,30 / 45,94-97,98,,,-1,45
21,Slade Cecconi,RHP,20.95,,55 / 60,55 / 60,,40 / 45,35 / 50,92-96,97,,,,45
22,Garrett Crochet,LHP,20.9583333,,65 / 70,60 / 65,,40 / 45,30 / 40,95-99,100,,,,45
23,Bryce Jarvis,RHP,22.4444444,,50 / 50,50 / 55,50 / 50,55 / 60,35 / 60,91-94,96,,1,2,45
24,J.T. Ginn,RHP,21.0444444,,50 / 55,55 / 60,,45 / 50,35 / 50,91-94,96,,,,45
27,Bobby Miller,RHP,21.1694444,,60 / 60,55 / 60,,45 / 50,30 / 45,92-96,98,1,,1,45
28,Jared Kelley,RHP,18.675,,55 / 60,,45 / 50,60 / 70,25 / 50,92-96,99,,,1,45
30,Tanner Witt,RHP,17.9027777,,45 / 60,,50 / 60,40 / 50,25 / 50,90-93,94,1,2,,45
31,Carson Montgomery,RHP,17.8138888,,50 / 55,,45 / 55,45 / 55,25 / 50,90-95,96,,,,45
34,Christian Roa,RHP,21.1777777,,50 / 50,50 / 50,55 / 55,50 / 55,35 / 50,92-93,96,,,1,40+
36,Justin Lange,RHP,18.7361111,,55 / 65,,,40 / 50,20 / 45,92-97,100,1,2,-1,40+
39,Masyn Winn,RHP/SS,18.2083333,,55 / 60,,55 / 60,30 / 50,20 / 40,93-96,98,2,,-1,40+
42,C.J. Van Eyk,RHP,21.725,,45 / 45,,55 / 55,50 / 55,35 / 50,91-94,96,,,,40+
45,Dax Fulton,LHP,18.6388888,,55 / 60,,55 / 60,40 / 50,40 / 50,91-95,96,,,,40+
47,Tommy Mace,RHP,21.5694444,,50 / 55,50 / 55,45 / 50,50 / 55,35 / 55,92-94,96,1,1,1,40+
48,Carmen Mlodzinski,RHP,21.2972222,,55 / 60,,50 / 50,40 / 45,35 / 50,93-97,98,,-1,,40+
49,Chris McMahon,RHP,21.3388888,,55 / 60,,45 / 50,40 / 50,40 / 50,92-95,96,,,,40+
56,Tanner Burns,RHP,21.4388888,,55 / 60,45 / 50,50 / 55,45 / 50,40 / 50,92-94,97,,,,40+
70,Cole Henry,RHP,20.8916666,,55 / 60,,50 / 60,40 / 50,35 / 50,91-96,96,,,,40+
91,Jared Jones,RHP,18.8333333,,60 / 60,50 / 60,,40 / 50,20 / 35,93-97,99,,,,40
98,Hugh Fisher,LHP,21.3194444,,55 / 60,,50 / 60,45 / 50,40 / 50,92-96,97,,,,40
101,Jack Leftwich,RHP,21.6944444,,55 / 60,,50 / 55,45 / 50,40 / 50,92-95,97,,,,40
145,Gavin Williams,RHP,20.8611111,,55 / 60,,45 / 55,,30 / 45,92-96,98,,,,40
169,Travis Sthele,RHP,18.7083333,,50 / 55,45 / 50,,50 / 55,,92-94,96,,,,35+
199,Dalton Fowler,LHP,20.4138888,,45 / 55,45 / 50,,40 / 50,40 / 50,89-92,95,,,,35+
219,Chandler Champlain,RHP,20.8694444,,45 / 50,,55 / 60,40 / 50,40 / 50,89-92,95,,,,35+
224,Storm Hierholzer,RHP,18.7861111,,45 / 50,45 / 50,,50 / 55,30 / 50,90-92,93,,,,35+
