Lg,Year,Division
America East Conference,2013,1
America East Conference,2014,1
America East Conference,2015,1
America East Conference,2016,1
America East Conference,2017,1
America East Conference,2018,1
America East Conference,2019,1
American Athletic Conference,2014,1
American Athletic Conference,2015,1
American Athletic Conference,2016,1
American Athletic Conference,2017,1
American Athletic Conference,2018,1
American Athletic Conference,2019,1
Atlantic 10 Conference,2013,1
Atlantic 10 Conference,2014,1
Atlantic 10 Conference,2015,1
Atlantic 10 Conference,2016,1
Atlantic 10 Conference,2017,1
Atlantic 10 Conference,2018,1
Atlantic 10 Conference,2019,1
Atlantic Coast Conference,2013,1
Atlantic Coast Conference,2014,1
Atlantic Coast Conference,2015,1
Atlantic Coast Conference,2016,1
Atlantic Coast Conference,2017,1
Atlantic Coast Conference,2018,1
Atlantic Coast Conference,2019,1
Atlantic Sun Conference,2013,1
Atlantic Sun Conference,2014,1
Atlantic Sun Conference,2015,1
Atlantic Sun Conference,2016,1
Atlantic Sun Conference,2017,1
Atlantic Sun Conference,2018,1
Atlantic Sun Conference,2019,1
Big 12 Conference,2013,1
Big 12 Conference,2014,1
Big 12 Conference,2015,1
Big 12 Conference,2016,1
Big 12 Conference,2017,1
Big 12 Conference,2018,1
Big 12 Conference,2019,1
Big East Conference,2013,1
Big East Conference,2014,1
Big East Conference,2015,1
Big East Conference,2016,1
Big East Conference,2017,1
Big East Conference,2018,1
Big East Conference,2019,1
Big South Conference,2013,1
Big South Conference,2014,1
Big South Conference,2015,1
Big South Conference,2016,1
Big South Conference,2017,1
Big South Conference,2018,1
Big South Conference,2019,1
Big Ten Conference,2013,1
Big Ten Conference,2014,1
Big Ten Conference,2015,1
Big Ten Conference,2016,1
Big Ten Conference,2017,1
Big Ten Conference,2018,1
Big Ten Conference,2019,1
Big West Conference,2013,1
Big West Conference,2014,1
Big West Conference,2015,1
Big West Conference,2016,1
Big West Conference,2017,1
Big West Conference,2018,1
Big West Conference,2019,1
California Collegiate Athletic Association,2013,2
California Collegiate Athletic Association,2014,2
California Collegiate Athletic Association,2015,2
California Collegiate Athletic Association,2016,2
California Collegiate Athletic Association,2017,2
California Collegiate Athletic Association,2018,2
California Collegiate Athletic Association,2019,2
Central Atlantic Collegiate Conference,2013,2
Central Atlantic Collegiate Conference,2014,2
Central Atlantic Collegiate Conference,2015,2
Central Atlantic Collegiate Conference,2016,2
Central Atlantic Collegiate Conference,2017,2
Central Atlantic Collegiate Conference,2018,2
Central Atlantic Collegiate Conference,2019,2
Central Intercollegiate Athletic Association,2013,2
Central Intercollegiate Athletic Association,2014,2
Central Intercollegiate Athletic Association,2015,2
