team1,team2,team1seed,team2seed,Regional
Arkansas,NJIT,1,4,Fayetteville
Nebraska,Northeastern,2,3,Fayetteville
Texas,Southern U.,1,4,Austin
Arizona St.,Fairfield,2,3,Austin
Tennessee,Wright St.,1,4,Knoxville
Duke,Liberty,2,3,Knoxville
Vanderbilt,Presbyterian,1,4,Nashville
Georgia Tech,Indiana St.,2,3,Nashville
Arizona,Grand Canyon,1,4,Tucson
Oklahoma St.,UC Santa Barbara,2,3,Tucson
TCU,McNeese,1,4,Fort Worth
Oregon St.,DBU,2,3,Fort Worth
Mississippi St.,Samford,1,4,Starkville
VCU,Campbell,2,3,Starkville
Texas Tech,Army West Point,1,4,Lubbock
UCLA,North Carolina,2,3,Lubbock
Stanford,North Dakota St.,1,4,Stanford
UC Irvine,Nevada,2,3,Stanford
Notre Dame,Central Mich.,1,4,South Bend
UConn,Michigan,2,3,South Bend
Old Dominion,Jacksonville,1,4,Columbia
Virginia,South Carolina,3,2,Columbia
Ole Miss,Southeast Mo. St.,1,4,Oxford
Southern Miss.,Florida St.,2,3,Oxford
East Carolina,Norfolk St.,1,4,Greenville
Charlotte,Maryland,2,3,Greenville
Central Conn. St.,Oregon,4,1,Eugene
Gonzaga,LSU,2,3,Eugene
Florida,South Fla.,1,4,Gainsville
Miami (FL),South Alabama,2,3,Gainsville
Louisiana Tech,Rider,1,4,Ruston
NC State,Alabama,2,3,Ruston
