Name,Pos,Age,Frame,Athl,Levers,Arm,Perf,Delivery,playerId
"Wander Franco","SS","20.1416666",,2,"Short",55,2,,"sa3007033"
"MacKenzie Gore","SP","22.1611111",1,2,"Long",,,1,"sa3005068"
"Adley Rutschman","C","23.2111111",2,1,"Long",60,2,,"sa3011643"
"Randy Arozarena","LF","26.1444444",,1,"Short",55,2,,"19290"
"Jarred Kelenic","RF","21.7666666",,1,"Short",60,2,,"sa3007741"
"CJ Abrams","2B","20.5527777",1,1,"Med",50,2,,"sa3010152"
"Ke'Bryan Hayes","3B","24.2333333",1,1,"Med",60,1,,"18577"
"Cristian Pache","CF","22.425",1,2,"Long",70,,,"19948"
"Spencer Torkelson","1B","21.6555555",-1,-1,"Short",40,2,,"sa3014504"
"Nate Pearson","SP","24.6722222",-1,1,"Med",,,1,"20160"
"Marco Luciano","SS","19.5361111",1,,"Med",50,1,,"sa3010022"
"Luis Patino","SP","21.4888888",-1,2,"Med",,,-1,"22815"
"Ian Anderson","SP","22.9722222",1,1,"Long",,2,2,"19951"
"Andrew Vaughn","1B","23.0527777",-1,-1,"Short",40,2,,"26197"
"Brandon Marsh","CF","23.3444444",1,1,"Med",60,,,"sa917944"
"Dylan Carlson","LF","22.4972222",1,1,"Long",40,1,,"20126"
"Alex Kirilloff","RF","23.4527777",,-1,"Med",60,2,,"20325"
"Matt Manning","SP","23.2333333",2,2,"Long",,1,1,"sa917924"
"Bobby Witt Jr.","SS","20.8555555",2,2,"Long",70,,,"sa3011225"
"Julio Rodriguez","RF","20.3138888",2,1,"Med",60,,,"sa3005720"
"Corbin Carroll","CF","20.6694444",-1,1,"Short",55,2,,"sa3010593"
"Tarik Skubal","SP","24.4222222",1,-1,"Long",,,,"22267"
"Vidal Brujan","2B","23.2027777",1,2,"Med",45,1,,"sa872786"
"Asa Lacy","SP","21.8888888",1,1,"Med",,1,-1,"sa3014423"
"Max Meyer","SP","22.1111111",,2,"Short",,1,1,"sa3014430"
"Luis Campusano","C","22.5638888",,1,"Med",60,1,,"22217"
"Sixto Sanchez","SP","22.7305555",-1,1,"Short",,1,-1,"19680"
"Josiah Gray","SP","23.3361111",-1,2,"Short",,1,-1,"sa3007475"
"Grayson Rodriguez","SP","21.4333333",1,1,"Med",,1,-1,"sa3008130"
"Francisco Alvarez","C","19.425",,1,"Short",55,1,,"sa3010862"
"Casey Mize","SP","23.975",,1,"Med",,1,-1,"20492"
"Spencer Howard","SP","24.7333333",,,"Med",,,-1,"23252"
"Michael Kopech","SP","24.9777777",2,1,"Long",,1,1,"17282"
"JJ Bleday","RF","23.45",,,"Med",60,1,,"sa3011642"
"Trevor Larnach","RF","24.1555555",,-1,"Med",55,2,,"sa3008376"
"Logan Gilbert","SP","23.9638888",2,1,"Long",,1,2,"sa3008598"
"Riley Greene","RF","20.5666666",1,,"Med",55,2,,"sa3010694"
"Nick Madrigal","2B","24.1027777",-1,1,"Short",50,1,,"20521"
"Nolan Gorman","3B","20.95",,-1,"Med",50,1,,"sa3007017"
"Brennen Davis","CF","21.4722222",2,2,"Long",60,,,"sa3007876"
"Ronny Mauricio","SS","20.05",2,1,"Long",60,,,"sa3006887"
"Kristian Robinson","RF","20.3638888",2,1,"Long",60,-1,,"sa3006884"
"Austin Martin","CF","22.0805555",,1,"Short",45,2,,"sa3014454"
"Alek Thomas","LF","20.9833333",-1,2,"Short",40,1,,"sa3006892"
"Quinn Priester","SP","20.6027777",2,1,"Long",,,-1,"sa3011297"
"Royce Lewis","SS","21.8805555",2,1,"Long",50,,,"sa3004259"
"Drew Waters","CF","22.3111111",1,1,"Med",60,,,"sa3004378"
"Jazz Chisholm","SS","23.225",,2,"Med",60,-1,,"20454"
"Jose Garcia","SS","23.0472222",2,2,"Med",70,-1,,"23378"
"Jasson Dominguez","CF","18.2083333",-1,2,"Short",60,-2,,"sa3014696"
"Nolan Jones","LF","22.9583333",2,1,"Long",70,1,,"sa917941"
"Jeter Downs","2B","22.7361111",,,"Med",50,1,,"sa3004615"
"Triston Casas","1B","21.2694444",,-1,"Long",55,1,,"sa3007634"
"Joey Bart","C","24.3527777",-1,1,"Med",55,,,"21524"
"Josh Lowe","CF","23.2222222",2,1,"Long",60,1,,"sa917926"
"Emerson Hancock","SP","21.8944444",2,1,"Long",,1,1,"sa3014456"
"Triston McKenzie","SP","23.7222222",,1,"Short",,1,2,"18000"
"Ryan Jeffers","C","24.1277777",-1,-1,"Short",55,1,,"24618"
"Deivi Garcia","SP","21.925",-1,1,"Short",,1,1,"20276"
"Heliot Ramos","RF","21.625",-1,1,"Short",60,1,,"sa3004693"
"Daniel Lynch","SP","24.4305555",1,1,"Long",,1,,"sa3007588"
"Edward Cabrera","SP","23.025",1,1,"Med",,,-1,"sa920423"
"George Valera","RF","20.4416666",,,"Med",55,1,,"sa3006872"
"Ha-seong Kim","SS","25.5138888",-1,2,"Short",70,2,,"27506"
"Ivan Herrera","C","20.8916666",,,"Med",50,1,,"sa3003191"
"Jeremy Pena","SS","23.5833333",1,1,"Med",50,,,"sa876320"
"Oswald Peraza","SS","20.8527777",-1,1,"Short",55,1,,"sa3003305"
"Geraldo Perdomo","SS","21.5",1,1,"Med",55,1,,"22799"
"Noelvi Marte","SS","19.5166666",2,1,"Med",60,,,"sa3008745"
"Zac Veen","CF","19.3611111",2,1,"Long",50,,,"sa3014516"
"Robert Hassell III","CF","19.6861111",1,1,"Med",60,,,"sa3014701"
"Simeon Woods Richardson","SP","20.5694444",,1,"Short",,,1,"sa3008423"
