"Inn","Score","Out","RoB","Pit.cnt.","R.O","X.Bat","Batter","Pitcher","wWPA","wWE","Play.Description","Date","Result","value"
"t2","0-0","0","---","3,(1-1) CBX","","SFG","Barry Bonds","Roy Oswalt","6%","56%","Double to LF (Ground Ball thru LF Line)",2004-04-05,"Double",1
"t4","0-1","2","---","1,(0-0) X","","SFG","Barry Bonds","Roy Oswalt","3%","36%","Double to LF (Fly Ball to Deep LF-CF)",2004-04-05,"Double",1
"t6","1-1","0","1--","5,(3-1) BBBFB","","SFG","Barry Bonds","Roy Oswalt","8%","63%","Walk; Tucker to 2B",2004-04-05,"Walk",1
"t8","1-4","1","12-","1,(0-0) X","RRR","SFG","Barry Bonds","Roy Oswalt","33%","45%","Home Run (Line Drive); Durham Scores; Tucker Scores",2004-04-05,"Home Run",1
"t1","0-0","1","12-","1,(0-0) X","OO","SFG","Barry Bonds","Andy Pettitte","-9%","45%","Ground Ball Double Play: 2B-SS-1B",2004-04-06,"Groundout",1
"t4","0-1","1","---","2,(0-1) CX","O","SFG","Barry Bonds","Andy Pettitte","-2%","33%","Foul Popfly: 3B (3B into Foul Terr.)",2004-04-06,"Foul Out",1
"t5","4-1","1","-2-","4,(3-0) IIII","","SFG","Barry Bonds","Andy Pettitte","1%","85%","Intentional Walk",2004-04-06,"Walk",1
"t7","6-3","1","---","1,(0-0) X","","SFG","Barry Bonds","Dan Miceli","1%","89%","Single to CF (Fly Ball to Short CF)",2004-04-06,"Single",1
"t8","7-3","2","123","2,(1-0) BX","O","SFG","Barry Bonds","Brandon Duckworth","-1%","95%","Flyball: LF",2004-04-06,"Flyball",1
"t1","0-0","2","-2-","4,(3-0) IIII","","SFG","Barry Bonds","Roger Clemens","-1%","51%","Intentional Walk",2004-04-07,"Walk",1
"t4","0-4","0","---","6,(3-2) BFCBBC","O","SFG","Barry Bonds","Roger Clemens","2%","89%","Strikeout Looking",2004-04-07,"Strikeout",1
"t7","0-5","0","---","4,(1-2) CSBC","O","SFG","Barry Bonds","Roger Clemens","1%","98%","Strikeout Looking",2004-04-07,"Strikeout",1
"t2","0-0","0","---","6,(3-2) BFBBCX","O","SFG","Barry Bonds","David Wells","2%","52%","Popfly: 3B (Deep 3B)",2004-04-08,"Popfly",1
"t4","0-1","0","1--","4,(1-2) FSBX","O","SFG","Barry Bonds","David Wells","2%","61%","Groundout: 2B unassisted; Grissom to 2B",2004-04-08,"Groundout",1
"t6","0-1","2","---","3,(1-1) CBX","O","SFG","Barry Bonds","David Wells","2%","75%","Flyball: CF (Deep CF)",2004-04-08,"Flyball",1
"t8","0-1","2","1--","4,(3-0) IIII","","SFG","Barry Bonds","Akinori Otsuka","-5%","77%","Intentional Walk; Perez to 2B",2004-04-08,"Walk",1
"t10","3-2","0","---","4,(2-1) BCBX","O","SFG","Barry Bonds","Antonio Osuna","2%","17%","Popfly: 2B (1B into Foul Terr.)",2004-04-08,"Popfly",1
"t1","0-0","1","12-","2,(0-1) CX","O","SFG","Barry Bonds","Brian Lawrence","4%","50%","Flyball: RF (CF-RF)",2004-04-10,"Flyball",1
"t3","0-1","1","12-","7,(3-2) BBBCF>F*B","","SFG","Barry Bonds","Brian Lawrence","-7%","50%","Walk; Durham to 3B; Snow to 2B",2004-04-10,"Walk",1
"t5","4-4","1","---","4,(2-1) BBCX","","SFG","Barry Bonds","Brian Lawrence","-3%","50%","Single to CF (Fly Ball to Short CF-RF)",2004-04-10,"Single",1
"t8","4-6","0","---","3,(2-0) ..BBX","O","SFG","Barry Bonds","Akinori Otsuka","3%","91%","Popfly: SS",2004-04-10,"Popfly",1
"t1","0-0","2","1--","4,(2-1) BBCX","O","SFG","Barry Bonds","Jake Peavy","-2%","45%","Flyball: LF",2004-04-11,"Flyball",1
"t4","0-0","0","1--","4,(3-0) BBBB","","SFG","Barry Bonds","Jake Peavy","7%","61%","Walk; Grissom to 2B",2004-04-11,"Walk",1
"t6","0-3","2","1--","4,(1-2) SCBX","","SFG","Barry Bonds","Jake Peavy","4%","14%","Double to LF (Ground Ball); Snow to 3B",2004-04-11,"Double",1
"t8","0-3","1","-23","4,(3-0) .IIII","","SFG","Barry Bonds","Eddie Oropesa","4%","19%","Intentional Walk",2004-04-11,"Walk",1
