"home_team","away_team","home_lg","away_lg"
"NYM","NYM","NL","NL"
"CWS","CWS","AL","AL"
"COL","COL","NL","NL"
"BAL","BAL","AL","AL"
"LAA","LAA","AL","AL"
"HOU","HOU","AL","AL"
"STL","STL","NL","NL"
"MIL","MIL","NL","NL"
"SF","SF","NL","NL"
"PIT","PIT","NL","NL"
"DET","DET","AL","AL"
"PHI","PHI","NL","NL"
"ATL","ATL","NL","NL"
"CLE","CLE","AL","AL"
"ARI","ARI","NL","NL"
"OAK","OAK","AL","AL"
"WSH","WSH","NL","NL"
"KC","KC","AL","AL"
"MIA","MIA","NL","NL"
"TB","TB","AL","AL"
"LAD","LAD","NL","NL"
"TOR","TOR","AL","AL"
"NYY","NYY","AL","AL"
"SD","SD","NL","NL"
"TEX","TEX","AL","AL"
"CIN","CIN","NL","NL"
"SEA","SEA","AL","AL"
"MIN","MIN","AL","AL"
"BOS","BOS","AL","AL"
"CHC","CHC","NL","NL"
